node,p0_core20_temp,p1_core10_temp,total_power,cpu_user,minimum_rows,total_rows
578,2517,2517,2517,1014,1014,8565
151,2517,2517,2517,1001,1001,8552
35,2517,2517,2517,851,851,8402
236,2515,2515,2515,849,849,8394
119,2517,2517,2517,729,729,8280
436,2517,2517,2517,712,712,8263
198,2517,2517,2517,692,692,8243
123,2517,2517,2517,679,679,8230
38,2517,2517,2517,677,677,8228
841,2513,2513,2513,674,674,8213
435,2517,2517,2517,666,666,8217
419,2517,2517,2517,660,660,8211
398,2517,2517,2517,656,656,8207
568,2517,2517,2517,656,656,8207
923,2517,2517,2517,651,651,8202
109,2517,2517,2517,650,650,8201
748,2517,2517,2517,649,649,8200
66,2517,2517,2517,649,649,8200
423,2517,2517,2517,649,649,8200
899,2515,2515,2515,649,649,8194
182,2514,2514,2514,649,649,8191
355,2516,2516,2516,648,648,8196
345,2517,2517,2517,645,645,8196
643,2517,2517,2517,643,643,8194
894,2514,2514,2514,643,643,8185
149,2517,2517,2517,642,642,8193
274,2517,2517,2517,642,642,8193
252,2517,2517,2517,634,634,8185
854,2514,2514,2514,634,634,8176
323,2514,2514,2514,633,633,8175
135,2517,2517,2517,630,630,8181
633,2517,2517,2517,619,619,8170
28,2517,2517,2517,618,618,8169
947,2517,2517,2517,615,615,8166
579,2517,2517,2517,613,613,8164
43,2517,2517,2517,612,612,8163
156,2517,2517,2517,612,612,8163
332,2517,2517,2517,609,609,8160
279,2517,2517,2517,608,608,8159
55,2517,2517,2517,605,605,8156
967,2517,2517,2517,603,603,8154
290,2516,2516,2516,602,602,8150
131,2517,2517,2517,601,601,8152
171,2517,2517,2517,598,598,8149
295,2518,2518,2517,596,596,8149
246,2514,2514,2514,596,596,8138
117,2517,2517,2517,594,594,8145
651,2517,2517,2517,592,592,8143
175,2517,2517,2517,591,591,8142
674,2517,2517,2517,591,591,8142
659,2517,2517,2517,589,589,8140
354,2517,2517,2517,589,589,8140
727,2517,2517,2517,589,589,8140
861,2516,2516,2516,589,589,8137
953,2517,2517,2517,588,588,8139
863,2517,2517,2517,588,588,8139
300,2517,2517,2517,587,587,8138
340,2517,2517,2517,586,586,8137
593,2517,2517,2517,586,586,8137
771,2517,2517,2517,585,585,8136
261,2517,2517,2517,584,584,8135
140,2517,2517,2517,584,584,8135
44,2517,2517,2517,584,584,8135
45,2517,2517,2517,584,584,8135
116,2517,2517,2517,584,584,8135
301,2514,2514,2514,584,584,8126
842,2517,2517,2517,583,583,8134
120,2517,2517,2517,583,583,8134
441,2517,2517,2517,583,583,8134
401,2517,2517,2517,583,583,8134
180,2516,2516,2516,583,583,8131
691,2517,2517,2517,582,582,8133
761,2517,2517,2517,582,582,8133
78,2517,2517,2517,582,582,8133
322,2515,2515,2515,582,582,8127
394,2517,2517,2517,581,581,8132
562,2517,2517,2517,581,581,8132
424,2517,2517,2517,581,581,8132
905,2517,2517,2517,581,581,8132
846,2517,2517,2517,581,581,8132
226,2516,2516,2516,581,581,8129
838,2517,2517,2517,580,580,8131
784,2517,2517,2517,580,580,8131
80,2517,2517,2517,580,580,8131
427,2517,2517,2517,580,580,8131
457,2517,2517,2517,580,580,8131
697,2517,2517,2517,580,580,8131
161,2515,2515,2515,579,579,8124
136,2517,2517,2517,578,578,8129
138,2517,2517,2517,578,578,8129
31,2517,2517,2517,577,577,8128
153,2517,2517,2517,577,577,8128
893,2517,2517,2517,577,577,8128
615,2517,2517,2517,577,577,8128
241,2515,2515,2515,577,577,8122
388,2517,2517,2517,576,576,8127
559,2517,2517,2517,576,576,8127
422,2517,2517,2517,576,576,8127
629,2517,2517,2517,576,576,8127
777,2517,2517,2517,576,576,8127
184,2516,2516,2516,576,576,8124
94,2517,2517,2517,575,575,8126
371,2517,2517,2517,575,575,8126
132,2517,2517,2517,575,575,8126
376,2517,2517,2517,575,575,8126
667,2517,2517,2517,575,575,8126
556,2517,2517,2517,574,574,8125
107,2517,2517,2517,574,574,8125
476,2517,2517,2517,574,574,8125
930,2517,2517,2517,574,574,8125
705,2517,2517,2517,574,574,8125
122,2517,2517,2517,573,573,8124
126,2517,2517,2517,573,573,8124
492,2517,2517,2517,573,573,8124
505,2517,2517,2517,573,573,8124
641,2517,2517,2517,573,573,8124
518,2517,2517,2517,573,573,8124
535,2517,2517,2517,573,573,8124
228,2517,2517,2517,572,572,8123
326,2517,2517,2517,572,572,8123
50,2517,2517,2517,572,572,8123
205,2517,2517,2517,571,571,8122
442,2517,2517,2517,571,571,8122
470,2517,2517,2517,571,571,8122
406,2517,2517,2517,571,571,8122
514,2517,2517,2517,571,571,8122
245,2517,2517,2516,571,571,8121
472,2517,2517,2517,570,570,8121
904,2517,2517,2517,570,570,8121
851,2517,2517,2517,570,570,8121
524,2517,2517,2517,570,570,8121
508,2517,2517,2517,570,570,8121
483,2517,2517,2517,570,570,8121
199,2516,2516,2516,570,570,8118
266,2515,2515,2515,570,570,8115
631,2517,2517,2517,569,569,8120
374,2517,2517,2517,569,569,8120
468,2517,2517,2517,569,569,8120
652,2517,2517,2517,569,569,8120
687,2517,2517,2517,569,569,8120
606,2517,2517,2517,569,569,8120
69,2517,2517,2517,568,568,8119
53,2517,2517,2517,568,568,8119
314,2517,2517,2517,568,568,8119
462,2517,2517,2517,568,568,8119
928,2517,2517,2517,568,568,8119
668,2517,2517,2517,568,568,8119
907,2517,2517,2517,568,568,8119
545,2517,2517,2517,568,568,8119
802,2517,2517,2517,567,567,8118
475,2517,2517,2517,567,567,8118
592,2517,2517,2517,567,567,8118
264,2516,2516,2516,567,567,8115
805,2517,2517,2517,566,566,8117
632,2517,2517,2517,566,566,8117
437,2517,2517,2517,566,566,8117
650,2517,2517,2517,566,566,8117
722,2517,2517,2517,566,566,8117
707,2517,2517,2517,566,566,8117
857,2517,2517,2517,566,566,8117
934,2517,2517,2517,566,566,8117
208,2516,2516,2516,566,566,8114
852,2516,2516,2516,566,566,8114
302,2515,2515,2515,566,566,8111
872,2514,2514,2514,566,566,8108
173,2513,2513,2513,566,566,8105
839,2517,2517,2517,565,565,8116
36,2517,2517,2517,565,565,8116
121,2517,2517,2517,565,565,8116
311,2517,2517,2517,565,565,8116
416,2517,2517,2517,565,565,8116
595,2517,2517,2517,565,565,8116
584,2517,2517,2517,565,565,8116
711,2517,2517,2517,565,565,8116
865,2517,2517,2517,565,565,8116
378,2517,2517,2517,565,565,8116
380,2517,2517,2517,565,565,8116
218,2515,2515,2515,565,565,8110
386,2517,2517,2517,564,564,8115
795,2517,2517,2517,564,564,8115
832,2517,2517,2517,564,564,8115
338,2517,2517,2517,564,564,8115
635,2517,2517,2517,564,564,8115
692,2517,2517,2517,564,564,8115
929,2517,2517,2517,564,564,8115
976,2517,2517,2517,564,564,8115
74,2517,2517,2517,564,564,8115
83,2517,2517,2517,564,564,8115
195,2517,2517,2517,564,564,8115
251,2517,2517,2517,564,564,8115
959,2517,2517,2517,564,564,8115
962,2517,2517,2517,564,564,8115
541,2517,2517,2517,564,564,8115
356,2515,2515,2515,564,564,8109
385,2517,2517,2517,563,563,8114
767,2517,2517,2517,563,563,8114
919,2517,2517,2517,563,563,8114
944,2517,2517,2517,563,563,8114
979,2517,2517,2517,563,563,8114
762,2517,2517,2517,563,563,8114
409,2517,2517,2517,563,563,8114
86,2517,2517,2517,563,563,8114
484,2517,2517,2517,563,563,8114
881,2517,2517,2517,563,563,8114
280,2515,2515,2515,563,563,8108
321,2515,2515,2515,563,563,8108
501,2514,2514,2514,563,563,8105
316,2517,2517,2517,562,562,8113
507,2517,2517,2517,562,562,8113
471,2517,2517,2517,562,562,8113
977,2517,2517,2517,562,562,8113
783,2517,2517,2517,562,562,8113
516,2517,2517,2517,562,562,8113
512,2517,2517,2517,562,562,8113
349,2517,2517,2517,562,562,8113
478,2517,2517,2517,562,562,8113
489,2517,2517,2517,562,562,8113
26,2517,2517,2517,562,562,8113
203,2514,2514,2514,562,562,8104
202,2514,2514,2514,562,562,8104
813,2517,2517,2517,561,561,8112
154,2517,2517,2517,561,561,8112
