task,partition,model,mae,rmse,r2,median_absolute_error,within_1,within_2,within_25,within_50,within_100
temperature,validation,persistence,1.203405017921147,2.044969349789151,0.9560547959916635,0.6666666666666714,0.6922043010752689,0.8413978494623656,,,
temperature,validation,ridge,1.271501438342011,1.9770218659451388,0.9589265839852011,0.821925990927177,0.5772849462365591,0.8138440860215054,,,
temperature,validation,random_forest,1.3856886415986673,2.627132478830252,0.9274726472786929,0.6485266848641658,0.6297043010752689,0.8192204301075269,,,
temperature,validation,extra_trees,1.535793757467142,3.155255025056593,0.8953819037606676,0.6259259259259231,0.6411290322580645,0.8266129032258065,,,
temperature,validation,hist_gradient_boosting,1.3094727771253751,2.4866660436101564,0.9350210324531965,0.6076763285112854,0.6606182795698925,0.8172043010752689,,,
temperature,validation,xgboost,1.7007768837781791,3.8118667240385125,0.8473090510148789,0.6792221069335938,0.646505376344086,0.8192204301075269,,,
temperature,test,persistence,1.2766577060931898,2.2734490952142443,0.8996627696091395,0.6666666666666714,0.6713709677419355,0.8279569892473119,,,
temperature,test,ridge,1.186035448249093,2.02248269710948,0.9205925463301623,0.7746414088918812,0.6048387096774194,0.8400537634408602,,,
power,validation,persistence,78.34677419354838,119.51202555929484,0.6644394914269953,46.66666666666674,,,0.34543010752688175,0.5026881720430108,0.7211021505376344
power,validation,ridge,73.01664656691722,106.01889901214946,0.7359329527023517,49.511249108120865,,,0.2963709677419355,0.5020161290322581,0.7426075268817204
power,validation,random_forest,79.1945078534404,122.30125209996454,0.6485937865707476,50.32963517963452,,,0.3326612903225806,0.4993279569892473,0.7385752688172043
power,validation,extra_trees,77.34308729091994,117.21547556845103,0.6772118836571591,50.50000000000017,,,0.3293010752688172,0.4959677419354839,0.7405913978494624
power,validation,hist_gradient_boosting,80.08968603361566,121.85183454050538,0.6511716498831202,51.971249096480165,,,0.3219086021505376,0.4899193548387097,0.7419354838709677
power,validation,xgboost,79.25646597339261,121.77446913913326,0.6516144610748,51.66177368164057,,,0.32056451612903225,0.49193548387096775,0.7419354838709677
power,test,persistence,70.95430107526882,103.62529571291466,0.7005487075928007,46.66666666666663,,,0.3689516129032258,0.5268817204301075,0.7325268817204301
power,test,ridge,57.42820941610226,81.16405476803463,0.8162945264074762,39.903317855662806,,,0.36760752688172044,0.5604838709677419,0.8138440860215054
