feature,importance,absolute_importance
total_power_roll_mean_10,58.273542938966436,58.273542938966436
total_power_roll_mean_5,30.66847971237295,30.66847971237295
p0_vdd_temp,19.38437152957218,19.38437152957218
p0_vdd_temp_lag_1,16.13246607974332,16.13246607974332
cpu_socket_power_roll_mean_5,-15.611442442266938,15.611442442266938
total_power_lag_10,15.522470774287049,15.522470774287049
total_power,14.629638712658705,14.629638712658705
cpu_temp_max_lag_10,-14.275961571691225,14.275961571691225
total_power_lag_1,13.891747717415152,13.891747717415152
total_power_roll_mean_3,13.26586749493283,13.26586749493283
total_power_lag_5,13.214888796867799,13.214888796867799
ambient,-11.465876195619218,11.465876195619218
p1_vdd_temp_lag_10,11.381528074942349,11.381528074942349
cpu_temp_max_roll_mean_10,-10.172715680722181,10.172715680722181
total_power_lag_2,9.321699126331328,9.321699126331328
cpu_busy_roll_mean_3,9.071186935841636,9.071186935841636
node_578,8.956606307366789,8.956606307366789
p1_vdd_temp_lag_2,-7.99907789149831,7.99907789149831
p0_vdd_temp_lag_2,7.808120712996147,7.808120712996147
ambient_lag_2,-7.680394228900381,7.680394228900381
node_236,-6.96789415243897,6.96789415243897
load_one_lag_5,6.667785440165327,6.667785440165327
load_fifteen_lag_1,-6.633105049232115,6.633105049232115
cpu_busy_roll_std_10,-6.388581941392215,6.388581941392215
p0_vdd_temp_lag_10,6.237812007936345,6.237812007936345
node_419,6.221772472080994,6.221772472080994
node_35,-6.165653273482851,6.165653273482851
cpu_temp_mean_roll_std_10,6.114993762384266,6.114993762384266
cpu_socket_power_roll_std_10,6.06690747779204,6.06690747779204
node_435,6.053536290919615,6.053536290919615
node_38,-5.981037397967415,5.981037397967415
ambient_lag_10,5.968347899995557,5.968347899995557
p0_power,-5.711917384058678,5.711917384058678
load_fifteen,-5.603750332975281,5.603750332975281
node_841,-5.537391756582401,5.537391756582401
cpu_busy_roll_mean_5,5.118818962143713,5.118818962143713
total_power_roll_std_5,5.051471222521091,5.051471222521091
load_fifteen_lag_5,-4.7537710057999885,4.7537710057999885
load_one_lag_2,-4.633365817364978,4.633365817364978
cpu_temp_mean_lag_10,4.610121015507956,4.610121015507956
cpu_busy_roll_std_5,-4.545787309786752,4.545787309786752
total_power_roll_std_3,4.380328735324667,4.380328735324667
load_one_roll_std_5,4.203260404247017,4.203260404247017
cpu_temp_max_delta_5,4.1709910047892995,4.1709910047892995
p1_power_lag_2,-3.863353539858978,3.863353539858978
cpu_temp_mean_roll_mean_5,3.860636844317828,3.860636844317828
node_198,3.763850721301366,3.763850721301366
load_one_lag_10,-3.73324983181052,3.73324983181052
cpu_socket_power_roll_std_3,3.673403581385985,3.673403581385985
load_five_lag_10,3.673389109497892,3.673389109497892
node_151,-3.592708573952437,3.592708573952437
p1_power_lag_10,-3.5699463680157955,3.5699463680157955
p1_vdd_temp,3.567385289171834,3.567385289171834
load_one_roll_std_10,-3.5632795147143477,3.5632795147143477
p0_power_lag_1,-3.5573016858597817,3.5573016858597817
node_436,3.5093269037078865,3.5093269037078865
p0_power_lag_5,-3.4656010438076796,3.4656010438076796
ambient_lag_5,3.365450540226132,3.365450540226132
cpu_temp_mean_delta_5,3.2113528416873103,3.2113528416873103
cpu_temp_mean_lag_1,3.159313084102397,3.159313084102397
cpu_temp_mean,3.1428951775293474,3.1428951775293474
load_one_lag_1,3.0624749225668935,3.0624749225668935
cpu_temp_max_lag_2,-2.883830636762082,2.883830636762082
cpu_temp_mean_roll_mean_10,-2.8113030444493505,2.8113030444493505
cpu_temp_mean_roll_mean_3,2.762906480120488,2.762906480120488
cpu_temp_sensor_count,2.737074112499357,2.737074112499357
cpu_busy_delta_5,2.6977249435453654,2.6977249435453654
cpu_idle_lag_5,-2.6775427673874503,2.6775427673874503
cpu_temp_mean_lag_5,2.626558876999255,2.626558876999255
minute_cos,2.604687328138916,2.604687328138916
cpu_busy_lag_5,2.585552386346622,2.585552386346622
cpu_idle_lag_2,2.584756709724752,2.584756709724752
total_power_delta_5,2.5736295603244987,2.5736295603244987
cpu_temp_mean_roll_std_3,2.5281939623779817,2.5281939623779817
cpu_temp_max_roll_std_5,-2.4904343189307743,2.4904343189307743
cpu_busy_lag_2,-2.4414591841094144,2.4414591841094144
cpu_temp_mean_roll_std_5,-2.4377644022686566,2.4377644022686566
load_fifteen_lag_2,-2.427066572608077,2.427066572608077
p1_power,2.364204288042044,2.364204288042044
p1_vdd_temp_lag_5,-2.239953846033077,2.239953846033077
load_one,2.223187638974061,2.223187638974061
cpu_socket_power_lag_10,-2.197801381139838,2.197801381139838
minute_sin,-2.18308761510606,2.18308761510606
cpu_temp_max,2.1546754522571723,2.1546754522571723
ambient_lag_1,-2.1281433813682242,2.1281433813682242
total_power_roll_std_10,-2.0446492215441374,2.0446492215441374
cpu_temp_max_lag_1,2.0425246701300517,2.0425246701300517
cpu_temp_mean_lag_2,1.9713298341766536,1.9713298341766536
cpu_busy_roll_mean_10,-1.8047612793276433,1.8047612793276433
